Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C203, C204, C205, C206, C211, C212, C213, C214, C215, C216, C221, C222, C223, C224, C229, C230, C231, C232, C233, C234, C237, C238, C239, C242, C243, C244, C245, C246, C247, C249, C250, C253, C254, C257, C258, C259, C262, C263, C265, C266, C267, C268, C269, C270, C278, C279",0603,48,100n,C14663
"C208, C218, C276",0603,3,100p,C14858
"C210, C220",0603,2,22p,C1653
"C225, C226, C227, C275",CP_Elec_6.3x5.4,4,22uF,C2836438
"C236, C272",0603,2,33p,C1663
C240,0603,1,10n,C57112
C241,CP_Radial_D6.3mm_P2.50mm,1,10u,
C248,C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,1u (foil or electrolite),
"C251, C255",C_Rect_L7.0mm_W2.5mm_P5.00mm,2,22n-47n (foil),
"C252, C256, C280, C281",CP_Elec_6.3x5.4,4,47u,C3344
"C260, C261",CP_Elec_6.3x7.7,2,100u,C2836437
"C273, C274, C282, C283, C284, C285",0603,6,47p,C1671
C277,0603,1,1u,C15849
"D203, D204, D207, D212, D213, D216, D217",D_SOD-123,7,1N4148,C81598
"D_NEGATIVE_LIMITER201, D_POSITIVE_LIMITER201",LED_D5.0mm,2,Red LED,
"J201, J202, J203, J204",PinHeader_2x08_P2.54mm_Vertical,4,Conn_02x08_Counter_Clockwise,
J214,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Counter_Clockwise,
J_POWER201,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"Q201, Q204",TO-92L_Inline_Wide,2,2N3906,
"Q202, Q205, Q207",SOT-363_SC-70-6_Handsoldering,3,BC847BS,C5380687
"Q203, Q206",SOT-23_Handsoldering,2,MMBFJ111,C274688
"Q208, Q209, Q210",TO-92L_Inline_Wide,3,BC548C,
"Q212, Q213, Q214",SOT-23,3,MMBT5551,C2145
"R201, R213, R216, R228, R232, R235, R237, R242, R243, R244, R246, R247, R250, R252, R253, R254, R255, R262, R263, R264, R270, R278, R279, R280, R281, R282, R283, R284, R285, R286, R287, R301, R304, R306, R307, R308, R309, R316, R317, R318, R319, R326, R327, R328, R329, R335, R336, R337, R338, R339, R340",0603,51,100k,C25803
"R202, R212, R217, R227",0603,4,150k,C22807
"R203, R218",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,91k,
"R204, R219",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,6.2k (50ppm),
"R205, R208, R220, R223, R322, R323",0603,6,1M,C22935
"R206, R221",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4R22 (50ppm),
"R207, R209, R222, R224",0603,4,1.5k,C22843
"R210, R225",0603,2,510,C23193
"R211, R226",0603,2,22k,C31850
"R214, R229",0603,2,330k,C23137
"R215, R230, R258, R297, R312",0603,5,2.2k,C4190
R231,0603,1,4.7k,C23162
R233,0603,1,220,C22962
"R234, R245",0603,2,33k,C4216
"R236, R238, R239, R266, R288, R289, R324, R325",0603,8,10k,C25804
"R240, R241, R296",0603,3,470k,C23178
"R248, R249, R302, R303",0603,4,15k,C22809
"R251, R305",0603,2,27k,C22967
"R256, R259, R310, R313, R320",0603,5,220k,C22961
"R257, R267, R290, R291, R292, R293, R311, R321, R330, R331, R332, R333, R334",0603,13,47k,C25819
"R260, R314",0603,2,2.2M,C22938
"R261, R315",0603,2,240k,C4197
R265,0603,1,75k,C23242
R268,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470,
"R269, R272, R277, R294, R295",0603,5,1k,C21190
R271,0603,1,150,C22808
"R273, R274",0603,2,100,C22775
R298,0603,1,3.3M,C141659
R300,0603,1,240k,C2907016
"RV201, RV202, RV203, RV204, RV205, RV_HEADPHONE_LIM201","Potentiometer_ACP_CA6-H2,5_Horizontal",6,100k,
"RV_ADSR_MAX_VOLTAGE201, RV_TRI_BIAS201, RV_TRI_BIAS202",Potentiometer_Bourns_3006P_Horizontal,3,100k,
RV_LINE_OUT_LVL201,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,10k,
"RV_SAW_BIAS201, RV_SAW_BIAS202",Potentiometer_Bourns_3006P_Horizontal,2,10k,
"R_WIDTH201, R_WIDTH202",Potentiometer_Bourns_3006P_Horizontal,2,20k,
"TH201, TH202",1206,2,PTS120601B100RP100,
"U201, U202, U204, U205, U207, U208, U209, U210, U211, U214, U217, U218, U219, U220, U221, U222, U223, U225, U226, U227",SOIC-8_3.9x4.9mm_P1.27mm,20,TL072,C6961
"U203, U206",SOIC-8_3.9x4.9mm_P1.27mm,2,LM311,C12597
U212,DIP-14_W7.62mm,1,4002,
U213,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,C7950
U215,SOIC-16_3.9x9.9mm_P1.27mm,1,CD4053B,C6742
U216,SOIC-8_3.9x4.9mm_P1.27mm,1,NE5532,C7426
U228,SOIC-16_3.9x9.9mm_P1.27mm,1,CD4040BM96,C353974
