Designator,Mid X,Mid Y,Rotation,Layer
C201,150.412,-189.289,0.0,top
C202,142.20108,-195.521414,0.0,top
C203,150.20708,-197.5994,0.0,top
C204,141.54068,-203.801814,0.0,top
C205,128.90448,-196.689814,0.0,top
C206,118.10948,-200.880814,0.0,top
C208,150.33408,-191.749614,180.0,top
C210,128.90448,-201.642814,180.0,top
C211,102.235621,-189.416,0.0,top
C212,94.102621,-195.521414,0.0,top
C213,102.108621,-197.5994,0.0,top
C214,93.442221,-203.801814,0.0,top
C215,80.806021,-196.689814,0.0,top
C216,70.011021,-200.880814,0.0,top
C218,102.235621,-191.749614,180.0,top
C220,80.806021,-201.642814,180.0,top
C221,182.543485,-171.1452,0.0,top
C222,173.755085,-176.7332,0.0,top
C223,177.761392,-236.294088,0.0,top
C224,166.737792,-239.522,0.0,top
C225,159.168592,-249.428,90.0,top
C226,167.059525,-249.428,90.0,top
C227,176.936436,-249.428,90.0,top
C229,106.883645,-228.233423,0.0,top
C230,95.923845,-232.094223,0.0,top
C231,106.795045,-235.388193,0.0,top
C232,95.974645,-239.198193,0.0,top
C233,106.845845,-249.916993,0.0,top
C234,95.923845,-253.726993,0.0,top
C236,110.026,-253.043,90.0,top
C237,208.5978,-230.1748,0.0,top
C238,223.200619,-230.275422,0.0,top
C239,212.050019,-234.060022,0.0,top
C240,197.358,-230.1748,0.0,top
C242,174.034,-188.146,0.0,top
C243,164.585685,-193.8782,0.0,top
C244,175.634885,-196.4182,0.0,top
C245,164.573485,-200.279,0.0,top
C246,147.2438,-235.1532,0.0,top
C247,136.1694,-238.9632,0.0,top
C249,214.913885,-194.284944,0.0,top
C250,203.402485,-198.145744,0.0,top
C252,118.281,-180.78,90.0,top
C253,214.908285,-183.5356,0.0,top
C254,203.396885,-187.3964,0.0,top
C256,130.346,-167.191,0.0,top
C257,123.192642,-247.63435,180.0,top
C258,135.001,-247.523,0.0,top
C259,126.335694,-254.61935,0.0,top
C260,238.931,-174.498,0.0,top
C261,213.117,-171.255,0.0,top
C262,64.687,-197.417,90.0,top
C263,55.289,-200.084,270.0,top
C265,69.383144,-228.233423,0.0,top
C266,58.423344,-232.094223,0.0,top
C267,69.294544,-235.388193,0.0,top
C268,58.474144,-239.198193,0.0,top
C269,69.345344,-249.916993,0.0,top
C270,58.423344,-253.726993,0.0,top
C272,72.561,-253.043,90.0,top
C273,150.20708,-199.2504,0.0,top
C274,102.108621,-199.2504,0.0,top
C275,184.82737,-249.428,90.0,top
C276,179.241,-191.067,90.0,top
C277,185.464,-204.275,180.0,top
C278,214.623685,-201.345524,0.0,top
C279,203.295285,-205.155524,0.0,top
C280,177.2,-229.616,0.0,top
C281,163.957,-229.616,0.0,top
C282,165.766,-237.27,180.0,top
C283,180.638,-239.975,90.0,top
C284,182.543,-175.446,0.0,top
C285,171.862,-167.445,0.0,top
D203,96.787445,-245.548193,0.0,top
D204,96.787445,-243.058993,0.0,top
D207,196.5452,-234.9246,180.0,top
D212,59.286944,-245.548193,0.0,top
D213,59.286944,-243.058993,0.0,top
D216,118.87148,-189.577814,180.0,top
D217,70.773021,-189.577814,180.0,top
D_NEGATIVE_LIMITER201,183.813,-192.972,180.0,top
D_POSITIVE_LIMITER201,183.818,-199.83,180.0,top
Q202,149.835,-172.952644,180.0,top
Q203,132.522213,-191.186502,90.0,top
Q205,99.231,-176.335,180.0,top
Q206,84.423754,-191.186502,90.0,top
Q207,166.414,-172.0088,180.0,top
Q212,144.78,-256.54,0.0,top
Q213,117.85548,-196.308814,90.0,top
Q214,69.757021,-196.308814,90.0,top
R201,139.41208,-189.336614,0.0,top
R202,139.41208,-192.892614,180.0,top
R205,153.50908,-191.749614,180.0,top
R207,141.06308,-173.334614,180.0,top
R208,150.33408,-193.527614,180.0,top
