"Reference","Value","Footprint","Quantity 1","Mouser Part Number","Part URL","Vendor"
"C241","10u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1","598-106RSS050M ","https://mou.sr/3VxA0hV","Mouser"
"C248","1u (foil or electrolite)","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1","80-R82EC4100Z370K ","https://mou.sr/3ZROEn2","Mouser"
"C251,C255","22n-47n (foil)","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","2","80-R82EC1330AA50K ","https://mou.sr/3BhmOHr","Mouser"
"J201,J202,J203,J204","Conn_02x08_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","4","737-RS2-16-G ","https://mou.sr/3OWyRwS","Mouser"
"J214","Conn_02x04_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1","737-RS2-08-G ","https://mou.sr/41qYCwK","Mouser"
"J_POWER201","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1","737-RS2-10-G ","https://mou.sr/3ZuUKrQ","Mouser"
"Q201,Q204","2N3906","Package_TO_SOT_THT:TO-92L_Inline_Wide","2","512-2N3906BU ","https://mou.sr/3ZrOXn8","Mouser"
"Q203,Q206","MMBFJ111","PCM_Package_TO_SOT_SMD_AKL:SOT-23_Handsoldering","2","512-MMBFJ111 ","https://mou.sr/3Us0WP4","Mouser"
"Q208,Q209,Q210","BC548C","Package_TO_SOT_THT:TO-92L_Inline_Wide","3","637-BC548C ","https://mou.sr/4fhkHkJ","Mouser"
"R203,R218","91k","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2","603-MFR50SFTE52-91K ","https://mou.sr/3Vwa9XS","Mouser"
"R204,R219","6.2k (50ppm)","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2","603-MFR50SFTE52-6K2 ","https://mou.sr/3OL65PP","Mouser"
"R206,R221","4R22 (50ppm)","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2","603-MFR50SFTE52-4R22 ","https://mou.sr/49tYeQ0","Mouser"
"R268","470","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","603-CFR50SJT-52-470R ","https://mou.sr/49C5zwV","Mouser"
"RV201,RV202,RV203,RV204,RV205,RV_HEADPHONE_LIM201","100k","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","6","531-PT6KH104A1010PM ","https://mou.sr/49zQlIS","Mouser"
"RV_ADSR_MAX_VOLTAGE201,RV_TRI_BIAS201,RV_TRI_BIAS202","100k","Potentiometer_THT:Potentiometer_Bourns_3006P_Horizontal","3","652-3006P-1-104-LF ","https://mou.sr/4ff5W1E","Mouser"
"RV_LINE_OUT_LVL201","10k","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","1","531-PT6KH-10K ","https://mou.sr/4gcYhlU","Mouser"
"RV_SAW_BIAS201,RV_SAW_BIAS202","10k","Potentiometer_THT:Potentiometer_Bourns_3006P_Horizontal","2","652-3006P-1-103-LF ","https://mou.sr/41xh2vW","Mouser"
"R_WIDTH201,R_WIDTH202","20k","Potentiometer_THT:Potentiometer_Bourns_3006P_Horizontal","2","652-3006P-7-203-LF ","https://mou.sr/41re1x3","Mouser"
"TH201,TH202","PTS120601B100RP100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2","594-PTS120601B100RP ","https://mou.sr/4g7SsGi","Mouser"
"U212","4002","Package_DIP:DIP-14_W7.62mm","1","595-CD4002BE ","https://mou.sr/3JJTry1","Mouser"
