Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C22, C23",CP_Elec_6.3x7.7,4,100u,C2836437
C10,CP_Elec_4x5.4,1,2.2u,C43242
"C11, C13, C9",C_Rect_L7.0mm_W2.5mm_P5.00mm,3,1n (Foil),
"C14, C16, C20, C21, C3, C4, C6, C7",0603,8,100n,C14663
C17,C_Rect_L7.0mm_W3.5mm_P5.00mm,1,470n (foil),
C18,C_Rect_L7.0mm_W4.5mm_P5.00mm,1,1u (Foil),
C19,CP_Elec_4x5.4,1,10u,C3343
C8,0603,1,10n,C57112
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,10,1N4148,C81598
J1,PinHeader_2x05_P2.54mm_Vertical,1,Eurorack Power,
J3,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
JP_INT_EXT1,PinSocket_1x03_P2.54mm_Vertical,1,Internal/External CV,
Q1,TO-92_Inline_Wide,1,BC547B,
R10,0603,1,56k,C23206
"R11, R32, R5",0603,3,10k,C25804
"R12, R28",0603,2,47k,C25819
R13,0603,1,200k,C25811
R14,0603,1,180k,C3016400
R15,0603,1,2.7k,C13167
"R16, R24",0603,2,1.5k (1%),C22843
R17,0603,1,2.2k,C4190
R18,0603,1,100,C22775
R19,0603,1,390,C23151
"R20, R21, R25, R35",0603,4,1k,C21190
R22,0603,1,3.9k,C23018
R23,0603,1,200,C8218
"R26, R29",0603,2,1M,C22935
R27,0603,1,22k,C31850
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,6.8k,
"R31, R9",0603,2,220k,C22961
"R33, R34, R6",0603,3,100k,C25803
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,3.3k,
RV_BALANCE1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,1k,
RV_BIAS1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,10k,
RV_MAX_RESO1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,100k,
"U1, U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,3,TL072,C6961
