Designator,Mid X,Mid Y,Rotation,Layer
C1,138.049,-102.108,270.0,top
C10,137.668,-63.881,90.0,top
C14,144.78,-119.634,0.0,top
C16,142.875,-70.2045,90.0,top
C19,163.917,-65.024,180.0,top
C2,130.81,-115.57,270.0,top
C20,159.385,-116.078,90.0,top
C21,163.576,-127.254,90.0,top
C22,139.192,-117.094,90.0,top
C23,142.908,-76.073,0.0,top
C3,155.321,-61.214,0.0,top
C4,143.7375,-67.437,0.0,top
C6,161.036,-70.866,90.0,top
C7,164.846,-82.042,90.0,top
C8,158.099179,-128.651,0.0,top
D1,149.735,-88.646,0.0,top
D10,154.814,-88.646,0.0,top
D2,149.734,-91.186,0.0,top
D3,149.734,-93.726,0.0,top
D4,149.734,-96.266,0.0,top
D5,149.734,-98.933,0.0,top
D6,154.814,-98.933,0.0,top
D7,154.814,-96.266,0.0,top
D8,154.814,-93.726,0.0,top
D9,154.814,-91.186,0.0,top
R10,158.099179,-126.873,0.0,top
R11,143.129,-64.135,0.0,top
R12,143.129,-62.484,0.0,top
R13,158.099179,-130.429,180.0,top
R14,143.637,-60.833,0.0,top
R15,162.687,-116.1015,270.0,top
R16,141.605,-81.407,0.0,top
R17,161.036,-116.1015,90.0,top
R18,144.8835,-115.316,0.0,top
R19,137.16,-80.645,90.0,top
R20,139.446,-68.961,180.0,top
R21,159.258,-110.998,0.0,top
R22,144.8835,-113.411,180.0,top
R23,144.907,-117.094,0.0,top
R24,141.605,-93.580239,0.0,top
R25,155.448,-111.125,180.0,top
R26,155.1705,-67.818,0.0,top
R27,155.1705,-66.167,0.0,top
R28,155.194,-64.262,0.0,top
R29,163.195,-70.866,90.0,top
R31,164.973,-70.866,270.0,top
R32,162.433,-82.042,270.0,top
R33,134.366,-90.551,270.0,top
R34,160.655,-82.0185,270.0,top
R35,157.0755,-79.375,0.0,top
R5,143.129,-65.786,180.0,top
R6,154.432,-126.873,180.0,top
R9,155.321,-129.54,270.0,top
U1,161.671,-121.666,0.0,top
U2,149.3255,-64.77,270.0,top
U3,163.006,-76.454,0.0,top
