"Reference","Value","Datasheet","Footprint","Qty","DNP","Part No.","Part URL","Vendor"
"C1,C2","100u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2","","80-ESS107M025AE2AA ","https://mou.sr/3ZTs1yq","Mouser"
"C3","1n","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1","","594-K102M15X7RF53L2 ","https://mou.sr/3OTl4qX","Mouser"
"C4","10n","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1","","594-K103K15X7RF5TK2 ","https://mou.sr/49C1dG8","Mouser"
"C5","47u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1","","667-ECE-A1VKS470I ","https://mou.sr/4iyQHDI","Mouser"
"C7,C8,C9,C10","100n","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","4","","594-K103K15X7RF5TK2 ","https://mou.sr/3VFZIRH","Mouser"
"C12","470n","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1","","80-C315C474K5R ","https://mou.sr/4ggiw21","Mouser"
"D1,D3,D_ON_OFF1","LED Blue","~","LED_THT:LED_D5.0mm","3","","859-LTL-1CHG ","https://mou.sr/3OXMWKk","Mouser"
"D2","8.2V","~","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","1","","625-BZX85C8V2 ","https://mou.sr/3DeplTn","Mouser"
"H9,H10","MountingHole","~","MountingHole:MountingHole_3mm","2","","","",""
"J1,J2,J3,J4","Conn_02x08_Counter_Clockwise","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","4","","649-1012938191601BLF ","https://mou.sr/3ZS3vh3","Mouser"
"J5","Conn_02x04_Counter_Clockwise","~","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1","","737-PH2-08-UA ","https://mou.sr/4gxLnib","Mouser"
"J6","Barrel_Jack_Switch","~","Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002","1","","710-694106301002 ","https://mou.sr/4a9ckVQ","Mouser"
"J8","Conn_01x06","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1","","737-PH1-20-UA ","https://mou.sr/4gqTRHQ","Mouser"
"J9","Conn_02x04_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1","","737-PH2-08-UA ","https://mou.sr/4gxLnib","Mouser"
"JP1","Jumper_2_Open","~","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","1","","","",""
"J_EXT_CUTOFF1,J_GATE1,J_HEADPHONES1,J_MIDI_IN1,J_PITCH1,J_VCO2_PITCH1","SJ1-3554NG","","Shmoergh_Custom_Footprints:CUI_SJ1-3554NG","6","","490-SJ1-3554NG ","https://mou.sr/3Qs21VB","Mouser"
"J_FILTER_CONN1","Conn_02x08_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","1","","649-1012938191601BLF ","https://mou.sr/3ZS3vh3","Mouser"
"J_MAIN_POWER1,J_POWER1","Conn_02x05_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","2","","737-PH2-10-UA ","https://mou.sr/3D13TAT","Mouser"
"Q1,Q2","2N3904","https://www.tme.eu/Document/12bff749841e3a356e683e9a8e7e4119/2N3904BU-DTE.pdf","Package_TO_SOT_THT:TO-92L_Inline_Wide","2","","637-2N3904 ","https://mou.sr/4febysZ","Mouser"
"R1","1k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","303-MF0W4FF1001A10 ","https://mou.sr/3ZUsGjh","Mouser"
"R2,R44,R45","200k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3","","603-MFR-25FTF52-200K ","https://mou.sr/49BK9jG","Mouser"
"R3,R4,R5,R6,R7,R14,R15,R16,R17","10k (0.1%)","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","9","","660-MF1/4CCT52R1002B ","https://mou.sr/4fj3JT3","Mouser"
"R8","150k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","303-MF0W4FF1503B00 ","https://mou.sr/3BpW47z","Mouser"
"R9,R10,R26,R30,R38,R40,R49","100k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","7","","303-MF0W4FF1003T50 ","https://mou.sr/3BGpE8K","Mouser"
"R11,R12,R13,R19,R20,R21,R22,R25,R31,R32,R33","100k (1%)","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","11","","303-MF0W4FF1003T50 ","https://mou.sr/3BGpE8K","Mouser"
"R18,R23,R24,R39","82k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4","","303-MF0W4FF8202B00 ","https://mou.sr/3Djf3kL","Mouser"
"R27,R28,R35,R36,R43,R50,R51","10k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","7","","303-MF0W4FF1002T50 ","https://mou.sr/3VFoGR5","Mouser"
"R29","330k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","303-MF0W4FF3303B00 ","https://mou.sr/3Zu4Yss","Mouser"
"R34","2k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","303-CFR0W4J0202B00 ","https://mou.sr/3BpNNAx","Mouser"
"R37,R41","20k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2","","303-MF0W4FF1002T50 ","https://mou.sr/3DjJ444","Mouser"
"R42","4.7k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","303-MF0W4FF4701A10 ","https://mou.sr/4fkq2ri","Mouser"
"R46,R47","220","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2","","303-MF0W4FF2200B00 ","https://mou.sr/4iu83Sh","Mouser"
"R48","47k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","303-CFR0W4J0473B00 ","https://mou.sr/49BslVE","Mouser"
"RV1,RV2","50k prec.","~","Potentiometer_THT:Potentiometer_Bourns_3006P_Horizontal","2","","652-3006P-1-503-LF ","https://mou.sr/3ZEVzhM","Mouser"
"RV_ATTACK_LONG1,RV_DECAY_SHORT1,RV_DIRTY_AMP1,RV_EXT_CUTOFF_GAIN1,RV_GLIDE_AMNT1,RV_NARROW_WIDTH1,RV_PLAYGROUND_HALF1,RV_RELEASE_MIN1,RV_RELEASE_SHORT1,RV_SUSTAIN_LVL1,RV_SYNC_VIBRATO_DAMP1,RV_TRACKING_LVL1,RV_VCA_PLYGND_BIAS1","100k","~","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical","13","","652-3306F-1-104 ","https://mou.sr/3OVBYFf","Mouser"
"RV_ATTACK_SHORT1","10k","~","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical","1","","652-3306F-1-103 ","https://mou.sr/41GreC6","Mouser"
"RV_CUTOFF1,RV_VCO2_TUNER1","100k","~","Shmoergh_Custom_Footprints:Potentiometer_Bourns_Single-PTV09A","2","","652-PTV09A4025FB104 ","https://mou.sr/3Us6dpJ","Mouser"
"RV_FINE_TUNE1","10k","~","Shmoergh_Custom_Footprints:Potentiometer_Bourns_PTD901-2015_Single_Horizontal","1","","PTD901-1015K-B103","https://mou.sr/4aB7CRn","Mouser"
"RV_LFO1_AMOUNT1,RV_LFO1_SPEED1,RV_LFO2_AMOUNT1,RV_LFO2_SPEED1,RV_NOISE_VOLUME1,RV_VCO2_VOLUME1","A100k","~","Shmoergh_Custom_Footprints:Potentiometer_Bourns_Single-PTV09A","6","","652-PTV09A-4025UA104 ","https://mou.sr/44vDepN","Mouser"
"RV_MAIN_VCO_5V1","10k","~","Potentiometer_THT:Potentiometer_Bourns_3006P_Horizontal","1","","652-3006P-1-103-LF ","https://mou.sr/41xh2vW","Mouser"
"RV_PWM_LEVEL1,RV_SUSTAIN_MAX1","200k","~","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical","2","","652-3306F-1-204 ","https://mou.sr/3P2IKcd","Mouser"
"RV_RESO_DIRTY1","50k","~","Shmoergh_Custom_Footprints:Potentiometer_Bourns_Dual-PTV112-4","1","","652-PTV112-4425AB503 ","https://mou.sr/3UKAAJn","Mouser"
